Checked At UTC,Country,Channel Name,tvg-id,Availability,Test Result,Detail,Latency ms,Attempts,Stream Host,Stream URL
2026-08-30 10:13:30 UTC,Algeria,4Kids TV,4KidsTV.dz,unavailable,Not tested — no public stream,No real stream URL,,0,example.invalid,https://example.invalid/iptv-no-stream/4KidsTV.dz
2026-08-30 10:13:30 UTC,Algeria,Al Anis TV,AlAnisTV.dz,unavailable,Not tested — no public stream,No real stream URL,,0,example.invalid,https://example.invalid/iptv-no-stream/AlAnisTV.dz
2026-08-30 10:13:30 UTC,Algeria,AL24 News,AL24News.dz@SD,available,Working,audio+video,1048,1,cdn.live.easybroadcast.io,https://cdn.live.easybroadcast.io/abr_corp/66_al24_u4yga6h/corp/66_al24_u4yga6h_240p/chunks.m3u8
2026-08-30 10:13:30 UTC,Algeria,Alaqaria TV,AlaqariaTV.dz,unavailable,Not tested — no public stream,No real stream URL,,0,example.invalid,https://example.invalid/iptv-no-stream/AlaqariaTV.dz
2026-08-30 10:13:30 UTC,Algeria,Alsir TV,AlsirTV.dz,unavailable,Not tested — no public stream,No real stream URL,,0,example.invalid,https://example.invalid/iptv-no-stream/AlsirTV.dz
2026-08-30 10:13:30 UTC,Algeria,Amou Yazid TV (576p),AmouYazidTV.dz@SD,available,Working,audio+video,1273,1,mkstream.servehttp.com,http://mkstream.servehttp.com:1940/AmouYazid/ay1/playlist.m3u8
2026-08-30 10:13:30 UTC,Algeria,Aures TV,AuresTV.dz,unavailable,Not tested — no public stream,No real stream URL,,0,example.invalid,https://example.invalid/iptv-no-stream/AuresTV.dz
2026-08-30 10:13:30 UTC,Algeria,Bahia TV,BahiaTV.dz,unavailable,Not tested — no public stream,No real stream URL,,0,example.invalid,https://example.invalid/iptv-no-stream/BahiaTV.dz
2026-08-30 10:13:30 UTC,Algeria,Channel 0225 TV,Channel0225TV.dz,unavailable,Not tested — no public stream,No real stream URL,,0,example.invalid,https://example.invalid/iptv-no-stream/Channel0225TV.dz
2026-08-30 10:13:30 UTC,Algeria,Chebab TV,ChebabTV.dz,unavailable,Not tested — no public stream,No real stream URL,,0,example.invalid,https://example.invalid/iptv-no-stream/ChebabTV.dz
2026-08-30 10:13:30 UTC,Algeria,CNA (360p) [Not 24/7],CNA.dz@SD,available,Restricted (403),https://live.creacast.com/cna/stream/playlist.m3u8: Server returned 403 Forbidden (access denied),802,2,live.creacast.com,https://live.creacast.com/cna/stream/playlist.m3u8
2026-08-30 10:13:30 UTC,Algeria,Dz News TV,DzNewsTV.dz,unavailable,Not tested — no public stream,No real stream URL,,0,example.invalid,https://example.invalid/iptv-no-stream/DzNewsTV.dz
2026-08-30 10:13:30 UTC,Algeria,Dzair Tube TV,DzairTubeTV.dz,unavailable,Not tested — no public stream,No real stream URL,,0,example.invalid,https://example.invalid/iptv-no-stream/DzairTubeTV.dz
2026-08-30 10:13:30 UTC,Algeria,Echorouk News,EchoroukNews.dz,unavailable,Not tested — no public stream,No real stream URL,,0,example.invalid,https://example.invalid/iptv-no-stream/EchoroukNews.dz
2026-08-30 10:13:30 UTC,Algeria,Echorouk TV,EchoroukTV.dz,unavailable,Not tested — no public stream,No real stream URL,,0,example.invalid,https://example.invalid/iptv-no-stream/EchoroukTV.dz
2026-08-30 10:13:30 UTC,Algeria,El Bilad TV,ElBiladTV.dz,unavailable,Not tested — no public stream,No real stream URL,,0,example.invalid,https://example.invalid/iptv-no-stream/ElBiladTV.dz
2026-08-30 10:13:30 UTC,Algeria,El Djazair N1,ElDjazairN1.dz,unavailable,Not tested — no public stream,No real stream URL,,0,example.invalid,https://example.invalid/iptv-no-stream/ElDjazairN1.dz
2026-08-30 10:13:30 UTC,Algeria,El Fadjer TV,ElFadjerTV.dz,unavailable,Not tested — no public stream,No real stream URL,,0,example.invalid,https://example.invalid/iptv-no-stream/ElFadjerTV.dz
2026-08-30 10:13:30 UTC,Algeria,El Hayat TV,ElHayatTV.dz,unavailable,Not tested — no public stream,No real stream URL,,0,example.invalid,https://example.invalid/iptv-no-stream/ElHayatTV.dz
2026-08-30 10:13:30 UTC,Algeria,El Hidhab TV,ElHidhabTV.dz,unavailable,Not tested — no public stream,No real stream URL,,0,example.invalid,https://example.invalid/iptv-no-stream/ElHidhabTV.dz
2026-08-30 10:13:30 UTC,Algeria,El-Heddaf TV (1080p),ElHeddafTV.dz@SD,available,Working,audio+video,3944,1,live.elheddaftv.com,https://live.elheddaftv.com:8081/elheddaftv/index.m3u8
2026-08-30 10:13:30 UTC,Algeria,Elikhbaria TV,ElikhbariaTV.dz,unavailable,Not tested — no public stream,No real stream URL,,0,example.invalid,https://example.invalid/iptv-no-stream/ElikhbariaTV.dz
2026-08-30 10:13:30 UTC,Algeria,Eliktisadia El Oula TV,EliktisadiaElOulaTV.dz,unavailable,Not tested — no public stream,No real stream URL,,0,example.invalid,https://example.invalid/iptv-no-stream/EliktisadiaElOulaTV.dz
2026-08-30 10:13:30 UTC,Algeria,Elwatania TV (1080i),ElwataniaTV.dz@SD,available,Working,audio+video,13963,1,livesstream.work.gd,https://livesstream.work.gd:5443/WebRTCApp/streams/stream.m3u8
